2013-07-17 09:55:16.859 AM	FormSendQtyToGSHK_Load	Start Cutoff
2013-07-17 09:55:29.107 AM	docutoff	Send Mail success
2013-07-17 09:55:29.107 AM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-07-17 10:17:52.698 AM	FormSendQtyToGSHK_Load	Start Cutoff
2013-07-17 10:17:52.698 AM	dowork	Email was not sent. If you want to send this Email, Please Update "Email Sent Status To Logistics" in System Parameters, set the value to False.
2013-07-17 10:17:52.698 AM	FormSendQtyToGSHK_Load	Finish Cutoff
2013-07-17 10:25:34.182 AM	DoWork	Nothing to send.
2013-07-17 10:25:58.507 AM	DoWork	Done. Email sent(1)
2017-03-28 12:25:49.568 PM	FormScheduller_Load	Start Scheduller
2017-03-28 12:26:02.840 PM	orderCollectionscheduller	Start OrderCollection
2017-03-28 12:28:25.510 PM	FormScheduller_Load	Start Scheduller
2017-03-28 12:28:36.555 PM	orderCollectionscheduller	Start OrderCollection
2017-03-28 12:31:34.828 PM	orderCollectionscheduller	End OrderCollection
2017-03-28 12:31:37.766 PM	FormScheduller_Load	End Scheduller
2017-06-29 10:54:57.287 AM	FormScheduller_Load	Start Scheduller
2017-06-29 10:55:42.593 AM	orderCollectionscheduller	Start OrderCollection
2017-06-29 10:56:02.288 AM	DoWork	Nothing to send.
2017-06-29 10:56:05.924 AM	orderCollectionscheduller	End OrderCollection
2017-06-29 10:56:10.456 AM	FormScheduller_Load	End Scheduller
2018-05-23 02:11:37.823 PM	FormScheduller_Load	Start Scheduller
2018-05-23 02:11:49.899 PM	cutoffscheduller	Start Cutoff
2018-05-23 02:11:55.969 PM	dowork	Email was not sent. If you want to send this Email, Please Update "Email Sent Status To Logistics" in System Parameters, set the value to False.
2018-05-23 02:12:17.194 PM	cutoffscheduller	End Cutoff
2018-05-23 02:14:00.708 PM	reminderscheduller	Start Reminder
2018-05-23 02:14:01.987 PM	DoWork	Nothing to send.
2018-05-23 02:14:03.539 PM	reminderscheduller	End Reminder
2018-05-23 02:14:08.268 PM	orderCollectionscheduller	Start OrderCollection
2018-05-23 02:16:50.335 PM	FormScheduller_Load	Start Scheduller
2018-05-23 02:18:37.349 PM	cutoffscheduller	Start Cutoff
2018-05-23 02:19:47.186 PM	dowork	Email was not sent. If you want to send this Email, Please Update "Email Sent Status To Logistics" in System Parameters, set the value to False.
2018-05-23 02:19:51.088 PM	cutoffscheduller	End Cutoff
2018-05-23 02:20:07.948 PM	reminderscheduller	Start Reminder
2018-05-23 02:20:22.679 PM	DoWork	Nothing to send.
2018-05-23 02:20:26.774 PM	reminderscheduller	End Reminder
2018-05-23 02:20:38.910 PM	orderCollectionscheduller	Start OrderCollection
2018-05-23 02:29:52.329 PM	DoWork	Done. Email sent(0)
2018-05-23 02:30:07.087 PM	orderCollectionscheduller	End OrderCollection
2018-05-23 02:30:10.874 PM	FormScheduller_Load	End Scheduller
